,SampleID,mAge_Hovath,mAge_Hannum,PhenoAge
110,200720060022_R06C01,54.3487967835284,57.81028414916,38.7949662149221
111,200720060022_R07C01,49.011378559899,60.8775967851577,33.4839783831723
112,200720060022_R08C01,51.0844094989811,58.719869231296,37.4578945287259
113,200720060023_R01C01,37.5205268161714,37.7184651049802,18.7561750807834
114,200720060023_R02C01,37.5360096693994,42.510647388646,21.8761942607995
115,200720060023_R03C01,41.5289791302823,49.1736331054225,22.6080883797929
116,200720060023_R04C01,35.3525405964277,43.4201646475905,14.3044798971002
117,200720060023_R05C01,63.7872192374358,75.7727530251303,53.0296691033995
118,200720060023_R06C01,64.3004099340869,74.9350085690777,58.3215754267985
119,200720060023_R07C01,62.9861570698983,61.9558726463435,49.6036809183649
120,200720060023_R08C01,64.6283472936253,64.998304730077,50.300717358514
121,200720060013_R01C01,34.7921058625802,40.2058234802676,13.532829440596
122,200720060013_R02C01,36.9382196859931,45.5508120485883,21.0543001011158
123,200720060013_R03C01,44.6657945408741,43.5401315417791,19.7138681311869
124,200720060013_R04C01,47.5357765837615,49.2049391841709,33.7941424165844
125,200720060013_R05C01,56.0259507794741,66.4490620183088,44.4007237465243
126,200720060013_R06C01,57.9809281770633,67.464962062189,40.6908053983319
127,200720060013_R07C01,64.5356277730034,66.4622841221666,53.3723443549068
128,200720060013_R08C01,61.2294377085565,71.6581968809489,54.3917721401812
129,200705940035_R01C01,67.9226964051662,73.8337295582527,56.3233664495026
130,200705940035_R02C01,68.6704519922575,76.8870688226169,61.5549927564385
131,200705940035_R03C01,38.1599165277404,42.5488201584735,13.2917487530339
132,200705940035_R04C01,38.6652683716566,46.3845835247759,18.1034186885729
133,200705940035_R05C01,47.683060152429,52.708779399073,27.9824648616492
134,200705940035_R06C01,50.8886702723152,51.8602955860174,22.8250963003242
135,200705940035_R07C01,52.6538888286756,55.1516264643662,41.1747273717232
136,200705940035_R08C01,51.852898623804,59.7068065750748,47.3360596187761
137,200705360036_R01C01,66.0468849373311,75.2286785850746,50.7455730459938
138,200705360036_R02C01,62.2906758300989,68.2196893718619,51.9360811216937
139,200705360036_R03C01,32.6014538800233,36.6846658587657,17.6188148401414
140,200705360036_R04C01,32.0989120714407,37.5142402381926,20.868147995289
141,200705360036_R05C01,60.4823372361289,64.2829947937778,35.7712566806581
142,200705360036_R06C01,61.6579129743486,65.5116242012659,41.632031684986
143,200705360036_R07C01,54.8647616569714,62.3413831283184,48.4178151176329
144,200705360036_R08C01,58.8667764012884,55.8594647966797,35.1809762631762
145,200727750034_R01C01,44.0528769374143,50.9601450899857,29.4635730018283
146,200727750034_R02C01,46.4458061273889,53.3008086944988,32.3508722713377
147,200727750034_R03C01,60.6661876211319,67.954238360469,41.4438888672342
148,200727750034_R04C01,57.2225015009421,66.4149778835796,42.5462270746301
149,200727750034_R05C01,33.1289347100213,37.1041810987502,17.5682484397626
150,200727750034_R06C01,33.7145163122728,38.2714910404745,15.8797660705087
151,200727750034_R07C01,59.4940210097215,62.0470901140048,52.6664784403603
152,200727750034_R08C01,56.23167989344,62.9936410480408,45.230076040861
153,200727750096_R01C01,69.2466985370125,72.0222060554987,56.4239996346979
154,200727750096_R02C01,66.5361257876972,70.7766124291714,61.8968190387375
